iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2010,9,1,Punjab,Lahore,31.554606,74.357158,,3,Bombing/Explosion,,,A Shiite Muslim procession,Tehrik-i-Taliban Pakistan (TTP),40,200,"Fang Yang, �Two Blasts Cause Panic in Lahore, Pakistan,� Xinhua News Agency, September 9, 2011, http://news.xinhuanet.com/english2010/world/2010-09/07/c_13482426.htm."
2013,8,8,Balochistan,Quetta,30.205674,67.010314,,3,Bombing/Explosion,,,Commanders,Tehrik-i-Taliban Pakistan (TTP),39,50,"""Suicide attack on policeman's funeral in Quetta kills 38 people,"" Jagran Post, August 9, 2013."
2016,9,16,Federally Administered Tribal Areas,Pai Khan,34.406593,71.55415,The incident occurred in Mohmand district.,3,Bombing/Explosion,,,Mosque,Tehrik-i-Taliban Pakistan (TTP),38,31,"""Attack on house of pro-government tribal elder,"" Business Recorder, October 8, 2016."
2014,6,8,Sindh,Karachi,24.900203,67.168157,The incident occurred at the Jinnah International Airport area of the city.,3,Bombing/Explosion,2,Armed Assault,Terminal,Tehrik-i-Taliban Pakistan (TTP),38,22,"""Karachi airport attack signals alarming tactical shift by Taliban,"" Reuters, June 12, 2014."
2008,2,16,Federally Administered Tribal Areas,Parachinar,33.896729,70.099832,,3,Bombing/Explosion,,,"Dr. Riaz Hussain, the presidential candidate for the Pakistan People�s Party (PPP)",Unknown,38,93,"�21 Killed By Suicide Attack In Pakistan,� Riyadh SPA, February 16, 2008."
2013,2,2,Khyber Pakhtunkhwa,Serai Naurang,32.821074,70.779198,,3,Bombing/Explosion,2,Armed Assault,Camp,Tehrik-i-Taliban Pakistan (TTP),35,8,"""Taliban Militants Attack Pakistani Base,"" The New York Times, February 3, 2013."
2013,6,18,Khyber Pakhtunkhwa,Mardan,34.198181,72.044411,,3,Bombing/Explosion,,,Member: Imran Khan Mohmand,Unknown,35,43,"""Mardan suicide blast kills MPA, 34 others,"" Daily Times, June 18, 2013."
2012,1,10,Khyber Pakhtunkhwa,Jamrud,34.000016,71.383411,,3,Bombing/Explosion,,,Civilians,Tehrik-i-Taliban Pakistan (TTP),35,60,"""Official: Marketplace blast kills at least 35 in Pakistan,"" CNN Wire, January 10, 2012."
2009,11,2,Punjab,Rawalpindi,33.600399,73.043426,"In the Shalimar Plaza Branch near the Pearl Continental Hotel on Mall Road in Rawalpindi, Punjab, Pakistan.",3,Bombing/Explosion,,,The National Bank of Pakistan,Unknown,35,63,"Xinhua News Agency,  �Blast Hits Pakistan's Garrison City, 34 killed,� http://news.xinhuanet.com/english/2009-11/02/content_12372183.htm (November 2, 2009)."
2009,11,10,North-West Frontier Province,Charsadda,34.148181,71.730028,,3,Bombing/Explosion,,,"The main bazaar, Farooq Azam Chowk",Unknown,34,100,"The Guardian, �Bomb Kills 20 in North-West Pakistan,� http://www.guardian.co.uk/world/2009/nov/10/bomb-kills-20-pakistan (November 10, 2009)."
2011,5,26,Khyber Pakhtunkhwa,Hangu,33.533541,71.057467,,3,Bombing/Explosion,,,The District Coordination Officer (DCO) office was the intended target of the attack.,Tehrik-i-Taliban Pakistan (TTP),33,52,"Zhang Xiang, �Twenty-Five Killed, Over 50 Injured in Suicide Car Blast in Hangu, NW Pakistan,� Xinhua News Agency, May 26, 2011, http://news.xinhuanet.com/english2010/world/2011-05/26/c_13895933.htm."
2009,2,5,Punjab,Dera Ghazi Khan,30.034319,70.639676,,3,Bombing/Explosion,,,Civilians,Unknown,33,48,"APP, ""30 Killed, 48 Injured In DG Khan Blast, Say Rescue 1122 Official,"" http://www.app.com.pk/en_/index.php?option=com_content&task=view&id=67175&Itemid=38 (February 05, 2009)"
2013,6,30,Balochistan,Quetta,30.177166,66.96627,Incident occurred in Ali Abad neighborhood in Hazara Town in the city,3,Bombing/Explosion,,,Mosque,Lashkar-e-Jhangvi,32,55,"""Gunmen kill two policemen in Pakistan's Peshawar,"" Agence France Presse -- English, July 1, 2013."
2011,2,10,Khyber Pakhtunkhwa,Mardan,34.416681,71.92459,"At the Punjab Regiment Army Recruitment Center in Mardan, Khyber Pakhtunkhwa, Pakistan.",3,Bombing/Explosion,,,Military cadets,Tehrik-i-Taliban Pakistan (TTP),32,40,"Press TV, ""Scores Dead in Pakistan Army Center,"" http://www.presstv.ir/detail/164492.html (February 10, 2011)."
2009,12,4,Punjab,Rawalpindi,33.600399,73.043426,The attck took place at the mosque on Parade Lane in Rawalpindi.,3,Bombing/Explosion,2,Armed Assault,The target of the attack was a mosque.,Tehrik-i-Taliban Pakistan (TTP),32,,"Agence France Presse, �Terrorists Explode Bombs Inside Mosque in Pakistan, Two People Killed,� World News Connection, Agence France Presse, December 4, 2009."
2013,1,10,Khyber Pakhtunkhwa,Mingora,34.777434,72.363113,"Along Takhtaband Road, Swat District",3,Bombing/Explosion,,,Meeting,Lashkar-e-Jhangvi,31,70,"""Fears for Pakistan as blasts kill 125,"" Agence France Presse -- English, January 11, 2013."
2013,7,26,Federally Administered Tribal Areas,Parachinar,33.899273,70.100484,,3,Bombing/Explosion,,,Bazaar,Mujahideen Ansar,31,76,"""Taliban gain foothold in Peshawar,"" Plus News Pakistan, July 28, 2013."
2010,2,18,Federally Administered Tribal Areas,Khyber district,33.908578,71.070055,In the Tirah valley,3,Bombing/Explosion,,,Civilians,Ansarul Islam (Pakistan),31,100,"Press TV, �Dozens Dead in Pakistani Market Blast,� http://www.presstv.ir/detail.aspx?id=118903&sectionid=351020401 (February 18, 2010)."
2009,6,5,North-West Frontier Province,Dir,35.202293,71.873006,"In  a Sunni Muslim mosque in the village of Haya Gai, Dir, Pakistan.",3,Bombing/Explosion,,,Civilians worshipping in a Sunni Mosque,Tehrik-i-Taliban Pakistan (TTP),31,60,"The Washington Post, ""Suicide Blast At Mosque In Pakistan Kills 30,"" http://www.washingtonpost.com/wpdyn/content/article/2009/06/05/AR2009060500369.html?hpid=moreheadlines (June 05, 2009)."
2007,4,28,North-West Frontier Province,Charsadda,34.148181,71.730028,,3,Bombing/Explosion,,,Aftab Khan Sherpao,Unknown,31,50,"""22 Die as Pakistan Bomb Targets Official,� Associated Press Online, April 28, 2007"""
2006,2,9,North-West Frontier Province,Hangu,33.533541,71.057467,,3,Bombing/Explosion,,,"Ashura festival procession in Hangu, Pakistan",Unknown,31,50,"Riaz Khan, �At Least 32 Killed in Pakistan Violence,� Associated Press, February 10, 2006."
2004,10,1,Punjab,Sialkot,32.493537,74.530343,,3,Bombing/Explosion,,,Zainabia Mosque,Unknown,31,51,"�At least 25 killed in suicide attack in eastern Pakistan,� Deutsche Presse-Agentur, October 1, 2004."
2014,1,21,Balochistan,Mastung district,29.408737,67.189449,Incident occurred in Dareen Garh area,3,Bombing/Explosion,,,Shia Pilgrims,Lashkar-e-Jhangvi,30,31,"""Bus bombing kills 24 Shiites in southwest Pakistan,"" Agence France Presse -- English, January 21, 2014."
2013,7,26,Federally Administered Tribal Areas,Parachinar,33.899273,70.100484,,3,Bombing/Explosion,,,Bazaar,Mujahideen Ansar,30,75,"""Taliban claim responsibility for Parachinar blasts,"" Business Recorder, July 28, 2013."
2009,5,27,Punjab,Lahore,31.554606,74.357158,,3,Bombing/Explosion,2,Armed Assault,The Inter-Services Intelligence,Tehrik-i-Taliban Pakistan (TTP),30,200,"BBC Monitoring South Asia, ""Huge Blast Rocks Pakistani City,"" BBC Monitoring South Asia, May 27, 2009, http://news.bbc.co.uk/2/hi/south_asia/8069467.stm."
2007,7,20,Balochistan,Hub,25.033647,66.881224,,3,Bombing/Explosion,,,"Chinese contractors in Hub, Pakistan",Unknown,30,,"""China condemns Pakistan suicide bomb attack,� Agence France Presse,  July 20, 2007."
2013,7,7,Balochistan,Quetta,30.181994,66.957103,The incident occurred in Hazara Town of the city.,3,Bombing/Explosion,,,Shiite Mosque,Lashkar-e-Jhangvi,29,70,"""Martyrdom of 30 Muslims in a bomb attack in Quetta, Pakistan,"" Islam Times, July 13, 2013."
2010,2,18,Federally Administered Tribal Areas,Khyber district,33.908578,71.070055,Aka Khel area,3,Bombing/Explosion,,,A mosque was targeted in the attack.,Unknown,29,50,"Associated Press Worldstream, �Bomb Kills 29 in Pakistan as US Envoy Visits,� LexisNexis Academic, Associated Press Worldstream, February 19, 2010."
2015,10,23,Sindh,Jacobabad,28.282935,68.436488,,3,Bombing/Explosion,,,9th Muharram Procession,Lashkar-e-Jhangvi,28,19,"""Sunni Extremists Claim Pakistan Attack On Shiites: Official,"" AFP (World Service), October 24, 2015."
2012,2,12,Khyber Pakhtunkhwa,Mardan,34.198181,72.044411,,3,Bombing/Explosion,,,Recruitment Center,Unknown,28,,"""Ban 'appalled' by reported use of minor in Pakistan suicide bombing,"" Web newswire, February 12, 2012."
2009,12,15,Punjab,Dera Ghazi Khan,30.034319,70.639676,The explosion occurred at a market in Dera Ghazi Khan. The exact location is unknown.,3,Bombing/Explosion,,,The market,Unknown,28,50,"BBC Monitoring, ""Pakistan Market Blast 'Kills At Least 27',"" LexisNexis Academic, BBC Monitoring, December 15, 2009."
2008,8,19,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"The bombing occurred at a hospital in Dera Ismail Khan, North West Frontier, Pakistan.",3,Bombing/Explosion,,,Civilians,Tehrik-i-Taliban Pakistan (TTP),28,30,"CNN, ""Taliban Claim Credit for Pakistan Blast,"" Cable News Network, http://www.cnn.com/2008/WORLD/asiapcf/08/20/pakistan.blast/index.html."
2006,3,10,Balochistan,Dera Bugti,29.033333,69.15,,3,Bombing/Explosion,,,Pakistani Civilians,Unknown,28,7,"National Counter Terrorism Center, 2006 Report on Terrorism"
2015,6,8,Federally Administered Tribal Areas,Datta Khel,33.150724,70.43233,,3,Bombing/Explosion,2,Armed Assault,Checkpoint,Halqa-e-Mehsud,27,14,"""Seven soldiers die in suicide bombing,"" DAWN Group, June 9, 2015."
2015,12,29,Khyber Pakhtunkhwa,Mardan,34.200114,72.050801,,3,Bombing/Explosion,,,Office,Tehrik-i-Taliban Pakistan (TTP),27,51,"""Breakthrough: NADRA office bomber identified,"" The Express Tribune, January 31, 2016."
2009,2,20,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,,3,Bombing/Explosion,,,,Unknown,27,65,
2008,3,11,Punjab,Lahore,31.554606,74.357158,,3,Bombing/Explosion,,,Federal Investigation Agency.,Al-Qaida,27,200,"""24 killed in double Lahore suicide blasts,"" Guardian Unlimited, March 11, 2008."
